section,subform,field_name,field_kind,caption,nearest_form_text,center_specific
Section3Old,JSC1s1,JSC1s1cb3,checkButton,"items=['1', '0', '2']","The products/equipment covered by this procurement were available from other NASA Center or federal facilities via **GSA, but the price of shipping far exceeds the total cost of procuring a new produc",JSC
Section3Old,JSC1s1,Waiver,checkButton,"items=['1', '0', '2']",This procurement requires the purchase of products or services listed in the GPC and the applicable GPC requirements are fully met (no waiver required);,JSC
Section3Old,JSC1s1,Waiver1,checkButton,Inadequate competition,"This procurement requires the purchase of products or services listed in the GPC; however, the originator requested a waiver*** and obtained approval from this requirement, from the JSC PIE Office, du",JSC
Section3Old,JSC1s1,Waiver2,checkButton,Unreasonable price,"This procurement requires the purchase of products or services listed in the GPC; however, the originator requested a waiver*** and obtained approval from this requirement, from the JSC PIE Office, du",JSC
Section3Old,JSC1s1,Waiver3,checkButton,Lack of quality / performance specification or standard,"This procurement requires the purchase of products or services listed in the GPC; however, the originator requested a waiver*** and obtained approval from this requirement, from the JSC PIE Office, du",JSC
Section3Old,JSC1s1,Waiver4,checkButton,Unavailable within reasonable time frame,"This procurement requires the purchase of products or services listed in the GPC; however, the originator requested a waiver*** and obtained approval from this requirement, from the JSC PIE Office, du",JSC
Section3Old,JSCWaiverRequired,JSCWaiverNum,textEdit,JSC Planning Integration and Environmental (PIE) Office Waiver Number:,"*** Fill out and submit to the JSC-Environmental-Office@nasa.gov for approval, a Request for Sustainable Acquisitions Waiver (Form JF1121)",JSC
Section3Old,JSCWaiverRequired,JSCWaiverDate,dateTimeEdit,"JSC Planning, Integration and Environmental (PIE) Office Approval Date:",Use the Attachments tab above to attach approved waiver. This attachment is REQUIRED.,JSC
Section3Old,JSC2,JSC2cb1,checkButton,"items=['1', '0', '2']",JSC NEPA Requirements,JSC
Section3Old,JSC2,JSC2cb2,checkButton,No environmental issues were identified,"This procurement completed and submitted the environmental planning checklist (JF1138) to the JSC Planning, Integration Environmental Office (JP) at JSC-Environmental-Office@nasa.gov",JSC
Section3Old,JSC2,JSC2cb3,checkButton,All the environmental issues and NEPA requirements identified were properly addressed.,"This procurement completed and submitted the environmental planning checklist (JF1138) to the JSC Planning, Integration Environmental Office (JP) at JSC-Environmental-Office@nasa.gov",JSC
Section4,Section4,S4n1,checkButton,"items=['1', '0', '2']",SECTION 4 - SERVICE CONTRACTING,
Section4,Section4,S4n2,checkButton,"items=['1', '0', '2']",This is a requirement for supplies and no services are being procured.,
Section4,Section4,S4n2s1,checkButton,"items=['1', '0', '2']","This requirement is for, or includes, services. The services to be performed (check all that apply):",
Section4,Section4,S4n2s2,checkButton,"items=['1', '0', '2']",1. Will not be used for the performance of personal services. (Ref. FAR 37.104 and NFS 1837.104),
Section4,Section4,S4n2s3,checkButton,"items=['1', '0', '2']",2. Will not be used for the performance of inherently governmental functions. (Ref. FAR 7.503),
Section4,Section4,S4n2s4,checkButton,"items=['1', '0', '2']","3. Are not presently being performed, nor recently performed, by government employees. (Contracting out for services performed by civil servants requires a public-private competition) (Ref. OMB Circul",
Section4,LaRC2,LaRC2c1,checkButton,"items=['1', '0', '2']",FAR 52.204-9 Personal Identity Verification of Contractor Personnel (Check when contract performance required contractors to have routine physical access to a Federally-controlled facility and/or rout,LaRC
Section4,LaRC2,LaRC2c2,checkButton,"items=['1', '0', '2']","NFS 1852.204-76 Security Requirements for Unclassified Information Technology Resources (Check when the Contractor will have 1) physical or electronic access to NASA's computer systems, networks, or I",LaRC
Section5s1,Section5s1,S5In1,checkButton,"items=['1', '0', '2']",I. SPACE FLIGHT AND GROUND SUPPORT PROGRAMS,
Section5s1,Section5s1,S5In2,checkButton,"items=['1', '0', '2']","This procurement is not for space flight hardware and/or software, nor for any ground systems or components that are in direct support of space flight operations.",
Section5s1,Section5s1,S5In2s1,checkButton,"items=['1', '0', '2']","This procurement is for space flight hardware and/or software and ground systems or components. Additionally, technical standards and specifications cited in the solicitation/resultant award are:",
Section5s1,Section5s1,S5In2s2,checkButton,"items=['1', '0', '2']","1) The most recent version, 2) tailored to the needs of the project and its elements, and 3) registered in a watch list at https://standards.nasa.gov to receive notification when standards or specific",
Section5s1,YesNo,GRCNo,checkButton,"items=['1', '0', '2']",,GRC
Section5s1,YesNo,GRCYes,checkButton,"items=['1', '0', '2']","This procurement is not subject to systems engineering requirements as specified in NPR 7123.1, See NPR 7123.1.",GRC
Section5s1,YesNo,GRC3Calculate,textEdit,,This procurement is subject to systems engineering requirements as specified in NPR 7123.1.,GRC
Section5s1,EngineerRep,TaskOrderInput1,textEdit,(Insert Engineering Rep.'s name),"GRC Engineering Representative has been made aware of this procurement, and the program/project/activity for which it will be utilized.",
Section5s2,Section5s2,S5IIn1,checkButton,"items=['1', '0', '2']",II. COMMUNICATION AND NAVIGATION CAPABILITIES,
Section5s2,Section5s2,S5IIn2,checkButton,"items=['1', '0', '2']","This procurement has no requirements related to Space Communication and Navigation (SCaN) capabilities of NASA, of other US Government agencies, or of other nations.",
Section5s2,Section5s2,S5IIn3,checkButton,"items=['1', '0', '2']",RADIOFREQUENCY SPECTRUM MANAGEMENT,
Section5s2,Section5s2,S5IIn4,checkButton,"items=['1', '0', '2']","This procurement does NOT contain RF equipment such as transmitters, receivers, antennas, or anything that modifies or amplifies RF signals.",
Section5s2,LaRC3,LaRC31,checkButton,"items=['1', '0', '2']",,LaRC
Section5s2,LaRC3,LaRC32,checkButton,"items=['1', '0', '2']",This procurement has no requirement for intentional Radio Frequency (RF) emitting devices.,LaRC
Section5s3,Section5s3,S5IIIn1,checkButton,"items=['1', '0', '2']",III. EARNED VALUE MANAGEMENT SYSTEM (Ref. NASA FAR Supplement (NFS) 1834.201 and NASA Procedural Requirements (NPR) 7120.5),
Section5s3,Section5s3,S5IIIn2,checkButton,"items=['1', '0', '2']",This procurement does not require an Earned Value Management System (EVMS) to be utilized.,
Section5s3,Section5s3,S5IIIn3,checkButton,"items=['1', '0', '2']",This procurement requires an EVMS to be utilized. Data Requirements Descriptions (DRDs) to be included in the solicitation and resultant contract are attached. (See NASA's EVM Contract Requirements Ch,
Section5s3,Section5s3,S5IIIn4,checkButton,"items=['1', '0', '2']",No exception(s) to the EVMS requirements apply to this procurement.,
Section5s4,Section5s4,S5IVn1,checkButton,"items=['1', '0', '2']",IV. COMMUNICATIONS (Ref. NASA Policy Directive (NPD) 2521.1),
Section5s4,Section5s4,S5IVn2,checkButton,"items=['1', '0', '2']","This procurement does not involve the design, preparation or creation of communications material.",
Section5s5,Section5s5,S5Vn1,checkButton,"items=['1', '0', '2']",V. MANNED COMMERCIAL AVIATION SERVICES & UNMANNED AIRCRAFT SYSTEMS (Ref. NASA Procedural Requirements (NPR) 7900.3),
Section5s5,Section5s5,S5Vn2,checkButton,"items=['1', '0', '2']","This procurement (1) involves neither the acquisition nor the use of manned or unmanned aircraft systems (UAS), including charter, lease, and acquisition of related aircraft services for manned and un",
Section5s6,Section5s6,S5VIn1,checkButton,"items=['1', '0', '2']",VI. SOFTWARE ENGINEERING PER NPR 7150.2 CLASSES A-E,
Section5s6,Section5s6,S5VIn2,checkButton,"items=['1', '0', '2']",This procurement is not subject to software engineering requirements as specified in NPR 7150.2See http://nodis3.gsfc.nasa.gov/displayDir.cfm?t=NPR&c=7150&s=2ANPR 7150.2 is applicable to: 1) ALL R&D r,
Section5s6,Section5s6,S5VIn2s1,checkButton,"items=['1', '0', '2']",Software Class (Check appropriate class),
Section5s6,Section5s6,S5VIn2s2,checkButton,"items=['1', '0', '2']",Class A: Human rated space software systems,
Section5s6,Section5s6,S5VIn2s3,checkButton,"items=['1', '0', '2']",Class B: Non-Human rated space software systems or large-scale aeronautics vehicles,
Section5s6,Section5s6,S5VIn2s4,checkButton,"items=['1', '0', '2']","Class C: Mission support software or aeronautic vehicles, or major engineering/research facility software",
Section5s6,Section5s6,S5VIn2s5,checkButton,"items=['1', '0', '2']",Class D: Basic science/engineering design and research and technology software,
Section5s7,Section5s7,SCVIn1,checkButton,"items=['1', '0', '2']",The incorporation of the agency approved DRD for SCV Reporting into the procurement solicitation and resultant contract is required.,
Section5s7,Section5s7,SCVIn2,checkButton,"items=['1', '0', '2']",The SCV Reporting Data Requirements Description (DRD) is applicable to solicitations and awards for new NASA procurements of products and services for programs/projects on the approved Agency Mission,
Section5s7,Section5s7,SCVIn2s1,checkButton,"items=['1', '0', '2']",The incorporation of the agency approved DRD for SCV Reporting into the procurement solicitation and resultant contract is not required(check appropriate rationale below):,
Section5s7,Section5s7,SCVIn2s2,checkButton,"items=['1', '0', '2']","Procurement value, including options, is below the $20M threshold",
Section5s7,Section5s7,SCVIn2s3,checkButton,"items=['1', '0', '2']",Procurement not for a program/project on the approved AMPL,
Section5s7,Section5s7,SCVIn2s4,checkButton,"items=['1', '0', '2']","Modification of an existing contract (i.e., not a new procurement)",
Section6s1,Section6s1,S6In1,checkButton,"items=['1', '0', '2']","This procurement pertains to one of the following types of acquisitions. If any of these blocks are checked, NPR 8735.2C are not applicable, skip to Section 6-IV, GIDEP Screening.",
Section6s1,Section6s1,S6In2,checkButton,"items=['1', '0', '2']",Information technology or institutional infrastructure projects.,
Section6s1,Section6s1,S6In3,checkButton,"items=['1', '0', '2']",Information Technology (IT) services.,
Section6s1,Section6s1,S6In4,checkButton,"items=['1', '0', '2']",Software assurance functions defined by NASA-STD-8739.8 and NPR 7150.2.,
Section6s1,Section6s1,S6In5,checkButton,"items=['1', '0', '2']",Contractor support services where such services do not directly affect product configuration.,
Section6s1,Section6s1,S6In6,checkButton,"items=['1', '0', '2']",Acquisition of NASA institutional facilities or for facility maintenance.,
Section6s1,Section6s1,S6In9,checkButton,"items=['1', '0', '2']",Grants and cooperative agreements covered by 31 U.S.C. 6301 et seq. or Space Act agreements covered by 51 USC 20113.,
Section6s1,Section6s1,S6In7,checkButton,"items=['1', '0', '2']",Other acquisition - NPR 8735.2C is not applicable to this procurement.,
Section6s1,Section6s1,S6In8,checkButton,"items=['1', '0', '2']",This procurement is for commercial or Commercial Off the-Shelf (COTS) item(s) to be acquired under FAR Part 12 procedures and NPR 8735.2C paragraph 5.1 is applicable.,
Section6s2,Section6s2,S6IIn1,checkButton,"items=['1', '0', '2']",,
Section6s2,Section6s2,S6IIn2,checkButton,"items=['1', '0', '2']",The acquisition items are NEITHER Critical NOR Complex. Higher-Level Quality is not required by the acquiring organization.,
Section6s2,Section6s2,S6IIn3,checkButton,"items=['1', '0', '2']","This procurement is for Critical items defined by NPR 8735.2C, Appendix A or Critical Work.",
Section6s2,Section6s2,HigherControls,textEdit,,"This procurement is for Complex acquisition items defined by NPR 8735.2C, Appendix A or Complex Work.",
Section6s3,Section6s3,S6IIIn1,checkButton,"items=['1', '0', '2']",II. HIGHER LEVEL QUALITY ASSURANCE REQUIREMENTS,
Section6s3n2,Section6s3n2,S6IIIn2,checkButton,"items=['1', '0', '2']","Select the applicable higher-level quality standards: ISO 17025, AS9100, AS9003 or ISO 9001.",
Section6s3n2,Section6s3n2,Button2,button,,"Select the applicable higher-level quality standards: ISO 17025, AS9100, AS9003 or ISO 9001.",
Section6s3n2,Section6s3n2,S6IIIn3,checkButton,"items=['1', '0', '2']",SAE AS9100 (If hardware is any combination of Critical/Complex),
Section6s3n2,Section6s3n2,Button3,button,,SAE AS9100 (If hardware is any combination of Critical/Complex),
Section6s3n2,Section6s3n2,S6IIIn4,checkButton,"items=['1', '0', '2']",ISO 9001 (If hardware is NOT BOTH Critical AND Complex),
Section6s3n2,Section6s3n2,Button4,button,,ISO 9001 (If hardware is NOT BOTH Critical AND Complex),
Section6s3n2,Section6s3n2,S6IIIn5,checkButton,"items=['1', '0', '2']",SAE AS9003 (If hardware is NOT Complex),
Section6s3n2,Section6s3n2,Button5,button,,SAE AS9003 (If hardware is NOT Complex),
Section6s3n2,Section6s3n2,S6IIIn6,checkButton,"items=['1', '0', '2']",ISO 17025 (Critical Calibration or Testing Services),
Section6s3n2,Section6s3n2,Button6,button,,ISO 17025 (Critical Calibration or Testing Services),
Section6s4,Section6s4,S6IVn1,checkButton,"items=['1', '0', '2']",Select the following that are applicable to this procurement:,
Section6s4,Section6s4,S6IVn1Input,textEdit,,Select the following that are applicable to this procurement:,
Section6s4,Section6s4,S6IVn2,checkButton,"items=['1', '0', '2']",This acquiring organization requires completion of acceptance testing by the government within days (typically 14 to 30 days) of delivery to the Center to ensure suitability under FAR 52.212-4 or FAR,
Section6s4,Section6s4,S6IVn3,checkButton,"items=['1', '0', '2']",This acquiring organization requires Certificate(s) of Conformance per FAR 52.246-15.,
Section6s4,Section6s4,CertificateInput,textEdit,,This acquiring organization requires a Certificate of Chemical Analysis certifying the requirements were met as specified in,
Section6s4,Section6s4,S6IVn4,checkButton,"items=['1', '0', '2']",This acquiring organization requires a Certificate of Chemical Analysis certifying the requirements were met as specified in,
Section6s4,Section6s4,S6IVn5,checkButton,"items=['1', '0', '2']","This acquiring organization requires Government Source Inspections (GSI) under FAR 52.246-2, -3, -4, -5, or -6.",
Section6s4,Section6s4,S6IVn6,checkButton,"items=['1', '0', '2']",This acquiring organization requires First Article Approval under FAR 52.209-3.,
Section6s5,Section6s5,QualityPOCSig,signature,Quality Point of Contact Signature,,
Section6s5,Section6s5,QualityPOCTxt,textEdit,Quality Point of Contact Signature,,
Section6s6,Section6s6,S6VIn1,checkButton,"items=['1', '0', '2']",IV. GOVERNMENT-INDUSTRY DATA EXCHANGE PROGRAM (GIDEP) SCREENING,
Section6s6,Section6s6,S6VIn2,checkButton,"items=['1', '0', '2']",This procurement is not for safety critical items as defined in NPR 8735.1,
Section6s7,Section6s7,CenterGIDEPSig,signature,Center GIDEP Coordinator Signature,,
Section6s7,Section6s7,CenterGIDEPTxt,textEdit,Center GIDEP Coordinator Signature,,
Section6s7,KSC4s1,KSC4c1,checkButton,"items=['1', '0', '2']",This procurement does not procure new Pressure Vessels/Systems (PV/S) or result in modification(s) to existing PV/S. KSC Pressure Systems Manager (PSM) signature is not required.,KSC
Section6s7,KSC4s1,KSC4c2,checkButton,"items=['1', '0', '2']",This procurement procures new PV/S or results in modifications to existing PV/S and has been reviewed and evaluated by the KSC PSM or designee per NPD 8710.5 paragraphs 5.d(3) and 5.f(1). KSC PSM sign,KSC
PSMSigS5,PSMSigS5,PSMApproval,textEdit,KSC PSM Approval,,
PSMSigS5,PSMSigS5,PSMApprovalSig,signature,KSC PSM Approval,,
PSMSigS5,LaRC4,LaRC4c1,checkButton,"items=['1', '0', '2']",V. LaRC PROCUREMENT TYPE,LaRC
PSMSigS5,LaRC4,LaRC4c2,checkButton,"items=['1', '0', '2']","This procurement pertains to a grant or cooperative agreement covered by 31 USC 6301 ET SEQ or Space Act agreements covered by 51 USC 20113 (NPR 8735.2 is not applicable- Skip to section 6, Health and",LaRC
PSMSigS5,LaRC4,LaRC4c3,checkButton,"items=['1', '0', '2']","This procurement pertains to supplies and services as defined in NPR 8735.2, Management of government quality assurance functions for NASA contracts, including research and development activities. Sup",LaRC
PSMSigS5,LaRC5,LaRC5c1,checkButton,Work is critical and complex (the following applies).,"Using the classifications established in Part II, select applicable Quality Management System (QMS) requirements for the supplier or contractor (note, supplier or contractor does not need to be regist",LaRC
PSMSigS5,LaRC5,LaRC5c2,checkButton,Work is critical but not complex (the following applies).,○ Work shall be performed in accordance with the quality system requirements of AS9100.○ Contact the Safety and Mission Assurance Office (SMAO) Mission Assurance Branch (C202) to ensure review of appl,LaRC
PSMSigS5,LaRC5,LaRC5Txt2,textEdit,,"○ Work shall be performed in accordance with the quality system requirements of AS9100, ISO9001 or SAE AS9003.○ Contact the SMAO Mission Assurance Branch (C202) to assist with completion of Part IV.○",LaRC
PSMSigS5,LaRC5,LaRC5c3,checkButton,Work is complex but not critical (the following applies).,"○ Work shall be performed in accordance with the quality system requirements of AS9100, ISO9001 or SAE AS9003.○ Contact the SMAO Mission Assurance Branch (C202) to assist with completion of Part IV.○",LaRC
PSMSigS5,LaRC5,LaRC5Txt3,textEdit,,○ Work shall be performed in accordance with the quality system requirements of AS9100 or ISO9001.○ Contact the SMAO Mission Assurance Branch (C202) to assist with completion of Part IV.○ Enter QMS Re,LaRC
PSMSigS5,LaRC5,LaRC5c4,checkButton,"items=['1', '0', '2']","○ Work shall be performed in accordance with higher-level quality management system (e.g., ISO9001) OR product/process specific quality standards○ Enter QMS Requirement○ Specific quality standard(s)",LaRC
PSMSigS5,LaRC5,LaRC5Txt4,textEdit,OR,"Work is for a research and development acquisition that requires control of such things as (1) design, work operations, in-process controls, testing and inspection; or (2) attention to such factors as",LaRC
