citation,title,tier,source,effective_date,far_part,nfs_part,url,applies_to_phase
PCD 25-43,Class Deviation from FAR Part 41 and NFS 1841 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",41,1841,,all
PCD 25-41,Class Deviation from FAR Part 22 and NFS 1822 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",22,1822,,all
PCD 25-40,Class Deviation from FAR Part 37 and NFS 1837 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",37,1837,,all
PCD 25-39,Class Deviation from FAR Part 14 and NFS 1814 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",14,1814,,all
PCD 25-38,Class Deviation from FAR Part 13 and NFS 1813 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 19, 2025",13,1813,,all
PCD 25-33,Class Deviation from FAR Part 44 and NFS 1844 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 18, 2025",44,1844,,all
PCD 25-49,Class Deviation from FAR Part 15 and NFS 1815 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 17, 2025",15,1815,,all
PCD 25-42,Class Deviation from FAR Part 47 and NFS 1847 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 17, 2025",47,1847,,all
PCD 25-24,Class Deviation from FAR Part 9 and NFS 1809 To Implement the Revolutionary FAR Overhaul,binding,PCD,"December 17, 2025",9,1809,,all
PCD 25-30,Class Deviation from FAR Part 48 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 30, 2025",48,,,all
PCD 25-28,Class Deviation from FAR Part 30 and NFS 1830 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 28, 2025",30,1830,,all
PCD 25-26,Class Deviation from FAR Part 46 and NFS 1846 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 20, 2025",46,1846,,all
PCD 25-45,Class Deviation from FAR Part 2 To Implement the Revolutionary FAR Overhaul,binding,PCD,"November 24, 2025",2,,,all
PCD 25-44,Class Deviation from FAR Part 53 To Implement the Revolutionary FAR Overhaul,binding,PCD,"November 24, 2025",53,,,all
PCD 25-20,Class Deviation from FAR Part 38 To Implement the Revolutionary FAR Overhaul,binding,PCD,"November 24, 2025",38,,,all
PCD 25-34,Class Deviation from FAR Part 3 and NFS 1803 To Implement the Revolutionary FAR Overhaul,binding,PCD,"November 26, 2025",3,1803,,all
PCD 25-35,Class Deviation from FAR Part 17 and NFS 1817 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 30, 2025",17,1817,,all
PCD 25-31,Class Deviation from FAR Part 7 and NFS 1807 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 30, 2025",7,1807,,all
PCD 25-29,Class Deviation from FAR Part 28 and NFS 1828 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 28, 2025",28,1828,,all
PCD 25-32,Class Deviation from FAR Part 24 and NFS 1824 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 26, 2025",24,1824,,all
PCD 25-25,Class Deviation from FAR Part 33 and NFS 1833 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 26, 2025",33,1833,,all
PCD 25-19,Class Deviation from FAR Part 51 and NFS 1851 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 22, 2025",51,1851,,all
PCD 25-27,Class Deviation from FAR Part 49 and NFS 1849 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 20, 2025",49,1849,,all
PCD 25-21,Class Deviation from FAR Part 4 and NFS 1804 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 13, 2025",4,1804,,all
PCD 25-13,Class Deviation from FAR Part 35 and NFS 1835 To Implement the Revolutionary FAR Overhaul,binding,PCD,"September 11, 2025",35,1835,,all
PCD 25-15,Class Deviation from FAR Part 50 and NFS 1850 To Implement the Revolutionary FAR Overhaul,binding,PCD,"August 30, 2025",50,1850,,all
PCD 25-12,Class Deviation from FAR Part 31 and NFS 1831 To Implement the Revolutionary FAR Overhaul,binding,PCD,"August 27, 2025",31,1831,,all
PCD 25-14,Class Deviation from FAR Part 36 and NFS 1836 To Implement the Revolutionary FAR Overhaul,binding,PCD,"August 23, 2025",36,1836,,all
PCD 25-11,Class Deviation from FAR Part 29 and NFS 1829 To Implement the Revolutionary FAR Overhaul,binding,PCD,"August 16, 2025",29,1829,,all
PCD 25-10,Class Deviation from FAR Part 6 and NFS 1806 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 27, 2025",6,1806,,all
PCD 25-09,Class Deviation from FAR Part 11 and NFS 1811 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 18, 2025",11,1811,,all
PCD 25-08,Class Deviation from FAR Part 18 and NFS 1818 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 11, 2025",18,1818,,all
PCD 25-07,Class Deviation from FAR Part 43 and NFS 1843 To Implement the Revolutionary FAR Overhaul,binding,PCD,"July 11, 2025",43,1843,,all
PCD 25-05A,Class Deviation from the NASA FAR Supplement (NFS) Part 1834 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 26, 2025",,,,all
PCD 25-03A,Class Deviation from the NASA FAR Supplement (NFS) Part 1801 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 29, 2025",,,,all
PCD 25-04,Class Deviation from the Federal Acquisition Regulation (FAR) Part 10 and NFS Part 1810 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 17, 2025",,1810,,all
PCD 25-05,Class Deviation from the Federal Acquisition Regulation (FAR) Part 34 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 2, 2025",,,,all
PCD 25-03,Class Deviation from the Federal Acquisition Regulation (FAR) Part 1 To Implement the Revolutionary FAR Overhaul,binding,PCD,"June 2, 2025",,,,all
